feature,mean_importance
Dist_Cluster_19,-0.0012142134232775658
Dist_Cluster_8,-0.0009633188299998041
Dist_Cluster_14,-0.0005543972876391745
semester,-0.00035414666039985666
dropout_risk_Yes,-0.00021121233655962968
gender_Other,-0.00016437989064292945
netflix_hours,1.3507085812514141e-05
Cluster,0.00010842467922667076
learning_style_Reading,0.00021447954307765026
major_Business,0.00033397446213090376
parental_education_level,0.00042335434706721744
learning_style_Visual,0.00043706069124136435
major_Biology,0.0004495700001013292
major_Computer Science,0.0005691548729150675
Dist_Cluster_22,0.0006474864819579152
Dist_Cluster_2,0.0007677860867765007
Dist_Cluster_4,0.0008002129398000824
internet_quality,0.0008583616066238475
Dist_Cluster_0,0.0008830447186357837
screen_time,0.0009255829724983622
study_environment_Co-Learning Group,0.0011824612361308606
study_environment_Dorm,0.0017941650994414803
Dist_Cluster_34,0.0018706391285647993
Dist_Cluster_13,0.0021385483602597067
Dist_Cluster_3,0.002156253548843368
study_environment_Quiet Room,0.0024274421975383877
Dist_Cluster_10,0.0025460469964258214
Dist_Cluster_28,0.0034867254378063927
Dist_Cluster_27,0.0038143051958189787
study_environment_Library,0.00445001866112329
Dist_Cluster_25,0.005485592511746118
Dist_Cluster_12,0.006254149891798222
Dist_Cluster_29,0.006891437994348104
Dist_Cluster_17,0.007341620008916183
Dist_Cluster_32,0.01160667600763492
sleep_hours,0.01352641688783931
Dist_Cluster_18,0.01477716389816539
exercise_frequency,0.02019787525961312
stress_level,0.0262651023274995
access_to_tutoring_Yes,0.027687898629888075
motivation_level,0.06559177562739937
study_hours_per_day,0.12181288122495997
