feature,mean_importance
major_Computer Science,-0.0004701825500111889
Dist_Cluster_0,-0.00045173764355348477
netflix_hours,-0.0004342154479938909
internet_quality,-0.00024463162331285205
parental_education_level,-0.00014252960467988628
Cluster,-3.647913332938124e-05
semester,-3.062384469976198e-05
dropout_risk_Yes,4.016079077275858e-05
screen_time,4.371877252178358e-05
gender_Other,0.0001370509034514189
major_Biology,0.0002632635801421701
major_Business,0.0002647149321423514
study_environment_Co-Learning Group,0.00027313193548623716
learning_style_Visual,0.0002777539527855755
Dist_Cluster_8,0.0003062589493096679
learning_style_Reading,0.00034857194641257916
Dist_Cluster_3,0.0007140029206791576
Dist_Cluster_14,0.000897045188192025
Dist_Cluster_4,0.0009529283995033833
Dist_Cluster_13,0.0009754094018075143
Dist_Cluster_32,0.0012124316886926278
Dist_Cluster_10,0.0012266031404654764
study_environment_Dorm,0.0029965683350167806
Dist_Cluster_34,0.003133533101247665
Dist_Cluster_19,0.0034176998784752667
Dist_Cluster_2,0.003547865641361736
study_environment_Quiet Room,0.004720094272124031
Dist_Cluster_27,0.005449658053266337
study_environment_Library,0.006449090505476973
Dist_Cluster_29,0.007052693229432516
Dist_Cluster_25,0.007336697624885047
Dist_Cluster_12,0.008303455009040683
Dist_Cluster_28,0.010203557957483067
Dist_Cluster_17,0.011475126216884558
sleep_hours,0.012162489930491538
Dist_Cluster_22,0.013364153586374706
Dist_Cluster_18,0.014382226371881112
exercise_frequency,0.018562505503436143
access_to_tutoring_Yes,0.02279365689973234
stress_level,0.024361090983197144
motivation_level,0.06802626421465588
study_hours_per_day,0.12019948952381879
